data_size,crossover_rate,mutation_rate,elite_percentage,execution_time,final_fitness
50,0.8,0.7,0.4,2.43367520000038,0.9740666666666666
50,0.8,0.7,0.5,1.960051300000032,0.9734
50,0.8,0.7,0.6,1.5776576000002933,0.9654666666666666
50,0.8,0.7,0.7,0.9820214999999735,0.9642
50,0.8,0.7,0.8,0.8145070000000487,0.9271999999999998
50,0.8,0.8,0.3,3.131333199999972,0.9639333333333333
50,0.8,0.8,0.4,2.5003089000001637,0.9624
50,0.8,0.8,0.5,2.0102458000001207,0.9667333333333332
50,0.8,0.8,0.6,1.6416950999996516,0.9630666666666666
50,0.8,0.8,0.7,1.0195256999995763,0.9602
50,0.8,0.8,0.8,0.7408190999999533,0.9217333333333333
100,0.3,0.3,0.3,3.3935582999997678,0.9187
100,0.3,0.3,0.4,2.817941299999802,0.8906666666666666
100,0.3,0.3,0.5,2.1327433000001292,0.9064000000000002
100,0.3,0.3,0.6,1.397208899999896,0.8988000000000002
100,0.3,0.3,0.7,0.9504679000001488,0.8543333333333333
100,0.3,0.3,0.8,0.5591409999997268,0.8129666666666667
100,0.3,0.4,0.3,3.6537208999998256,0.9328333333333333
100,0.3,0.4,0.4,3.0660876000001736,0.9267333333333333
100,0.3,0.4,0.5,2.181798699999945,0.9279333333333335
100,0.3,0.4,0.6,1.6004076999997778,0.8957333333333333
100,0.3,0.4,0.7,1.018685000000005,0.8749
100,0.3,0.4,0.8,0.53189569999995,0.8276666666666666
100,0.3,0.5,0.3,4.058997899999667,0.9257
100,0.3,0.5,0.4,3.18756570000005,0.9333333333333333
100,0.3,0.5,0.5,2.5388757000000624,0.9262333333333332
100,0.3,0.5,0.6,2.0638405999998213,0.9166666666666666
100,0.3,0.5,0.7,1.104367700000239,0.8873666666666666
100,0.3,0.5,0.8,0.5769173999997292,0.8396666666666668
100,0.3,0.6,0.3,4.048011499999575,0.9456
100,0.3,0.6,0.4,3.098640699999578,0.9444000000000001
100,0.3,0.6,0.5,2.6483431999999993,0.9228
100,0.3,0.6,0.6,1.7266500000000633,0.9146000000000001
100,0.3,0.6,0.7,1.1611189999998714,0.8902333333333331
100,0.3,0.6,0.8,0.6201176000004125,0.8354666666666667
100,0.3,0.7,0.3,4.277602500000285,0.9339666666666664
100,0.3,0.7,0.4,3.31711869999981,0.9339666666666666
100,0.3,0.7,0.5,2.5788720000000467,0.9351
100,0.3,0.7,0.6,1.967915400000038,0.9319333333333335
100,0.3,0.7,0.7,1.259582799999862,0.8892999999999999
100,0.3,0.7,0.8,0.6358730000001742,0.8556666666666667
100,0.3,0.8,0.3,4.164223100000072,0.9273333333333333
100,0.3,0.8,0.4,3.4398643999998058,0.9370666666666667
100,0.3,0.8,0.5,2.560954600000059,0.9442
100,0.3,0.8,0.6,1.8334230000000389,0.9195
100,0.3,0.8,0.7,1.203751900000043,0.8765666666666666
100,0.3,0.8,0.8,0.6359438999998019,0.8580333333333332
100,0.4,0.3,0.3,5.3768089999998665,0.9220666666666666
100,0.4,0.3,0.4,4.5516631999998935,0.8947666666666667
100,0.4,0.3,0.5,3.3905273999998826,0.9017
100,0.4,0.3,0.6,2.6579987000000074,0.9018333333333333
100,0.4,0.3,0.7,1.597573900000043,0.8488
100,0.4,0.3,0.8,0.8539565999999468,0.8238999999999999
100,0.4,0.4,0.3,5.507790999999997,0.9193999999999999
100,0.4,0.4,0.4,4.300239900000179,0.9293000000000001
100,0.4,0.4,0.5,3.389628100000209,0.9190999999999999
100,0.4,0.4,0.6,2.6018887999998697,0.9029333333333334
100,0.4,0.4,0.7,1.4208251000000018,0.8666333333333334
100,0.4,0.4,0.8,0.7970193999999537,0.8224
100,0.4,0.5,0.3,5.751825199999985,0.9303666666666665
100,0.4,0.5,0.4,4.62362370000028,0.9236666666666666
100,0.4,0.5,0.5,3.5973958999998104,0.9297333333333333
100,0.4,0.5,0.6,2.9261446000000433,0.9005666666666666
100,0.4,0.5,0.7,1.960363900000175,0.8755
100,0.4,0.5,0.8,0.890394500000184,0.8246
100,0.4,0.6,0.3,5.984567399999833,0.9443000000000001
100,0.4,0.6,0.4,4.935911500000202,0.9256666666666666
100,0.4,0.6,0.5,3.95281550000027,0.9327666666666665
100,0.4,0.6,0.6,2.8621392000000014,0.9211333333333332
100,0.4,0.6,0.7,1.8914408000000549,0.9019333333333334
100,0.4,0.6,0.8,0.9439873999999691,0.8537666666666667
100,0.4,0.7,0.3,6.144091600000138,0.9384
100,0.4,0.7,0.4,4.811584900000071,0.9331999999999999
100,0.4,0.7,0.5,4.289566899999954,0.9423666666666666
100,0.4,0.7,0.6,2.840455600000041,0.9264666666666665
100,0.4,0.7,0.7,1.7853860999998687,0.9086666666666666
100,0.4,0.7,0.8,1.015929099999994,0.8673333333333334
100,0.4,0.8,0.3,6.182311200000186,0.9322333333333332
100,0.4,0.8,0.4,5.233088899999984,0.9426666666666665
100,0.4,0.8,0.5,3.9778403000000253,0.9371333333333333
100,0.4,0.8,0.6,2.825103599999693,0.9190666666666667
100,0.4,0.8,0.7,2.092835500000092,0.9085333333333334
100,0.4,0.8,0.8,1.084190099999887,0.8685666666666666
100,0.5,0.3,0.3,7.005891199999951,0.9155999999999999
100,0.5,0.3,0.4,6.038883199999873,0.9164
100,0.5,0.3,0.5,4.629545499999949,0.9179999999999999
100,0.5,0.3,0.6,3.540765400000055,0.8887
100,0.5,0.3,0.7,2.183880499999759,0.8743333333333332
100,0.5,0.3,0.8,1.2033934999999474,0.8168666666666666
100,0.5,0.4,0.3,7.069084599999769,0.9236333333333334
100,0.5,0.4,0.4,5.867138600000089,0.9232333333333334
100,0.5,0.4,0.5,4.865839099999903,0.9126
100,0.5,0.4,0.6,3.412774000000354,0.9007666666666667
100,0.5,0.4,0.7,2.392481299999872,0.8886666666666667
100,0.5,0.4,0.8,1.3135661000001164,0.8342666666666666
100,0.5,0.5,0.3,7.464856900000086,0.9395333333333333
100,0.5,0.5,0.4,6.228341300000011,0.9407
100,0.5,0.5,0.5,4.992870900000071,0.9297333333333333
100,0.5,0.5,0.6,3.4697605999999723,0.9041666666666668
100,0.5,0.5,0.7,2.3995655000003353,0.8714666666666666
100,0.5,0.5,0.8,1.3966315000002396,0.8332333333333335
100,0.5,0.6,0.3,7.585898999999699,0.9461
100,0.5,0.6,0.4,6.097459600000093,0.9310666666666668
100,0.5,0.6,0.5,4.98756000000003,0.9306999999999999
100,0.5,0.6,0.6,3.592452900000353,0.9155333333333333
100,0.5,0.6,0.7,2.490124999999807,0.9048
100,0.5,0.6,0.8,1.1953533000000789,0.8647333333333332
100,0.5,0.7,0.3,7.666693800000303,0.9364000000000001
100,0.5,0.7,0.4,6.575156000000334,0.9360999999999999
100,0.5,0.7,0.5,5.325099799999862,0.9307666666666666
100,0.5,0.7,0.6,3.787185099999988,0.9193000000000001
100,0.5,0.7,0.7,2.5389718999999786,0.9008666666666667
100,0.5,0.7,0.8,1.3545500000000175,0.8485999999999999
100,0.5,0.8,0.3,7.938289800000348,0.9462666666666667
100,0.5,0.8,0.4,6.302788599999985,0.9445
100,0.5,0.8,0.5,5.229376700000103,0.9425000000000001
100,0.5,0.8,0.6,4.1383882999998605,0.9305666666666668
100,0.5,0.8,0.7,2.65879730000006,0.9038999999999999
100,0.5,0.8,0.8,1.369862000000012,0.8460666666666665
100,0.6,0.3,0.3,8.65487690000009,0.9185333333333332
100,0.6,0.3,0.4,7.05315279999968,0.9130333333333335
100,0.6,0.3,0.5,5.692751399999906,0.9231
100,0.6,0.3,0.6,4.422486500000105,0.8929333333333334
100,0.6,0.3,0.7,3.003975000000082,0.8544666666666668
100,0.6,0.3,0.8,1.7049524000003657,0.8089333333333336
100,0.6,0.4,0.3,8.5794163999999,0.9309000000000001
100,0.6,0.4,0.4,6.9811641999999665,0.9410000000000001
100,0.6,0.4,0.5,5.845672899999954,0.9058666666666666
100,0.6,0.4,0.6,4.365688700000192,0.9189666666666667
100,0.6,0.4,0.7,3.0793815000001814,0.8793333333333333
100,0.6,0.4,0.8,1.6130388000001403,0.8439666666666665
100,0.6,0.5,0.3,8.654720799999723,0.9289000000000002
100,0.6,0.5,0.4,6.903119600000082,0.9247333333333334
100,0.6,0.5,0.5,5.830160700000306,0.9227000000000001
100,0.6,0.5,0.6,4.173449500000061,0.9187999999999998
100,0.6,0.5,0.7,2.989753599999858,0.8958
100,0.6,0.5,0.8,1.9521970999999212,0.8544333333333334
100,0.6,0.6,0.3,8.666932899999665,0.9410666666666667
100,0.6,0.6,0.4,7.736061500000233,0.9339999999999999
100,0.6,0.6,0.5,6.02117139999973,0.9265333333333334
100,0.6,0.6,0.6,4.492133499999909,0.9128333333333332
100,0.6,0.6,0.7,2.9925130000001445,0.8979000000000001
100,0.6,0.6,0.8,1.6788004,0.852
100,0.6,0.7,0.3,9.052812799999629,0.9449000000000002
100,0.6,0.7,0.4,7.592470500000218,0.9435999999999998
100,0.6,0.7,0.5,6.406476999999995,0.9387666666666667
100,0.6,0.7,0.6,4.786540099999911,0.9291666666666666
100,0.6,0.7,0.7,3.086606700000175,0.9088999999999998
100,0.6,0.7,0.8,1.7498439000000872,0.8492333333333333
100,0.6,0.8,0.3,9.899517500000002,0.9471
100,0.6,0.8,0.4,8.288928400000259,0.9449666666666665
100,0.6,0.8,0.5,6.427165499999774,0.9311
100,0.6,0.8,0.6,4.657683899999938,0.9230666666666668
100,0.6,0.8,0.7,3.368611200000032,0.902666666666667
100,0.6,0.8,0.8,1.7240146000003733,0.8655333333333333
100,0.7,0.3,0.3,9.691546600000038,0.9192666666666668
100,0.7,0.3,0.4,7.932430299999851,0.9115
100,0.7,0.3,0.5,6.488251499999933,0.9182
100,0.7,0.3,0.6,4.956483699999808,0.8951666666666668
100,0.7,0.3,0.7,3.512301100000059,0.8406000000000002
100,0.7,0.3,0.8,2.318432699999903,0.7958666666666666
100,0.7,0.4,0.3,9.608711100000164,0.9268000000000001
100,0.7,0.4,0.4,8.362201700000242,0.9378333333333332
100,0.7,0.4,0.5,6.976826099999926,0.9229666666666667
100,0.7,0.4,0.6,5.384616499999993,0.8955666666666664
100,0.7,0.4,0.7,3.8038674999997966,0.8917666666666666
100,0.7,0.4,0.8,2.317628700000114,0.8131
100,0.7,0.5,0.3,10.276091499999893,0.9502999999999998
100,0.7,0.5,0.4,8.65743539999994,0.9296000000000001
100,0.7,0.5,0.5,6.899427100000139,0.9291333333333334
100,0.7,0.5,0.6,5.245602500000132,0.9259333333333334
100,0.7,0.5,0.7,3.796252699999968,0.8692666666666667
100,0.7,0.5,0.8,2.312580700000126,0.8306333333333333
100,0.7,0.6,0.3,10.690955600000052,0.9313333333333335
100,0.7,0.6,0.4,8.678739000000405,0.9444666666666665
100,0.7,0.6,0.5,7.275385299999925,0.9210666666666667
100,0.7,0.6,0.6,5.6197823000002245,0.9298666666666667
100,0.7,0.6,0.7,3.670004799999788,0.9094
100,0.7,0.6,0.8,2.3199540000000525,0.8469
100,0.7,0.7,0.3,10.812016699999731,0.9385666666666668
100,0.7,0.7,0.4,8.409155599999849,0.9419333333333333
100,0.7,0.7,0.5,7.115639399999964,0.9374333333333332
100,0.7,0.7,0.6,5.071884899999986,0.9064
100,0.7,0.7,0.7,3.689684699999816,0.9023333333333332
100,0.7,0.7,0.8,2.378987699999925,0.8380666666666666
100,0.7,0.8,0.3,10.89624670000012,0.9367333333333333
100,0.7,0.8,0.4,8.752305699999852,0.9450999999999998
100,0.7,0.8,0.5,6.9232231999999385,0.9323333333333335
100,0.7,0.8,0.6,5.415095299999848,0.9332333333333332
100,0.7,0.8,0.7,3.4195557000002736,0.8866333333333334
100,0.7,0.8,0.8,2.4774046999996244,0.8479333333333334
100,0.8,0.3,0.3,11.206035400000019,0.9274333333333333
100,0.8,0.3,0.4,9.908008399999744,0.9288333333333334
100,0.8,0.3,0.5,7.996388100000331,0.9012333333333334
100,0.8,0.3,0.6,5.863860400000249,0.8902333333333334
100,0.8,0.3,0.7,3.8635934999997517,0.8704666666666665
100,0.8,0.3,0.8,2.8004986000000827,0.79
100,0.8,0.4,0.3,10.690758299999743,0.9429666666666666
100,0.8,0.4,0.4,8.930479600000126,0.9320999999999999
100,0.8,0.4,0.5,7.264584699999887,0.9104333333333333
100,0.8,0.4,0.6,6.752904500000113,0.8928666666666668
100,0.8,0.4,0.7,4.025464300000294,0.8790000000000001
100,0.8,0.4,0.8,2.9797269999999116,0.8229666666666665
100,0.8,0.5,0.3,11.730701599999975,0.9480333333333333
100,0.8,0.5,0.4,10.688541200000145,0.9400999999999999
100,0.8,0.5,0.5,8.10528069999964,0.9303666666666667
100,0.8,0.5,0.6,6.206716799999867,0.9003999999999998
100,0.8,0.5,0.7,4.010111000000052,0.8945333333333332
100,0.8,0.5,0.8,2.8097146000000066,0.8633333333333333
100,0.8,0.6,0.3,12.04192540000031,0.9312666666666667
100,0.8,0.6,0.4,10.370128900000054,0.9413999999999998
100,0.8,0.6,0.5,7.9383803999999145,0.9300333333333333
100,0.8,0.6,0.6,6.15137679999998,0.9065
100,0.8,0.6,0.7,4.144684599999891,0.8965333333333332
100,0.8,0.6,0.8,3.041892799999914,0.8215666666666668
100,0.8,0.7,0.3,11.689826400000129,0.9400666666666666
100,0.8,0.7,0.4,9.848816400000032,0.9353
100,0.8,0.7,0.5,7.908642500000042,0.9385666666666668
100,0.8,0.7,0.6,6.320614899999782,0.9104666666666666
100,0.8,0.7,0.7,4.013504500000181,0.9057333333333333
100,0.8,0.7,0.8,2.57853010000008,0.8628333333333333
100,0.8,0.8,0.3,11.723836199999823,0.9311333333333334
100,0.8,0.8,0.4,10.081809499999963,0.9405666666666667
100,0.8,0.8,0.5,8.376271500000257,0.9383333333333332
100,0.8,0.8,0.6,6.376799799999844,0.9193999999999999
100,0.8,0.8,0.7,4.411800100000164,0.8996666666666666
100,0.8,0.8,0.8,2.8689220000001114,0.8548333333333333
150,0.3,0.3,0.3,7.762915400000111,0.8613555555555555
150,0.3,0.3,0.4,6.1201992999999675,0.8630444444444445
150,0.3,0.3,0.5,4.766807299999982,0.8567777777777777
150,0.3,0.3,0.6,3.4922256999998353,0.8318222222222224
150,0.3,0.3,0.7,2.0867966999999226,0.7917777777777778
150,0.3,0.3,0.8,1.2728987000000416,0.7423333333333332
150,0.3,0.4,0.3,7.968098199999986,0.8792444444444444
